"from_node","to_node","lcp_length_m","lcp_cost"
3926,3965,826.690475583121,19490.4481544495
3902,3952,1690.66017177982,81647.7289772034
3875,3956,1154.55844122716,34467.2422828674
3873,3964,1423.67532368147,56736.4513893127
3965,4020,773.9696961967,17727.9607887268
4020,4083,978.822509939086,27941.6644935608
4101,4254,1295.51298552221,49759.5117073059
4180,4317,2507.9393923934,171475.173740387
4198,4290,1063.67532368147,33076.0268287659
4222,4459,1714.62986797652,87051.778968811
3964,4230,2855.87878478679,239502.531986237
4232,4450,976.690475583121,26448.288974762
4083,4254,1351.24891681028,51119.5132789612
4290,4411,806.98484809835,17544.9693946838
4292,4359,4572.79220613578,539592.012241364
4298,4391,1828.23376490863,93757.4203224182
4303,4317,779.116882454314,17660.1640968323
3819,4326,4490.43722601395,565928.036899567
4341,4368,839.116882454314,20266.3345069885
4342,4386,1147.27922061358,33531.3386268616
4353,4411,616.690475583121,11293.6248664856
4341,4357,1106.10173055266,35808.018863678
4359,4953,3749.84848098349,410604.932956696
4362,4381,1393.67532368147,54557.1963844299
4386,4398,444.852813742386,5207.98341751099
4389,4450,1538.52813742386,66449.7196388245
4353,4391,1214.55844122716,38040.7999305725
4393,4491,1433.9696961967,55441.7174415588
4423,4557,1835.5129855222,96073.3932228088
4357,4432,2794.26406871193,198022.209079742
4440,4459,1243.67532368147,44239.47473526
4469,4803,2173.67532368147,124566.140781403
4494,4525,1472.13203435596,55220.4445838928
4303,4526,1310.95454429505,49765.876499176
4557,4645,951.837661840736,24535.610080719
4567,4598,1395.80735803743,56560.8993873596
4570,4636,1088.52813742386,34910.9785652161
4598,4675,756.396103067893,17040.0074195862
4557,4612,1689.41125496954,73180.4144325256
4626,4636,1059.41125496954,29673.7850074768
4643,4750,1461.83766184073,55476.0652198792
4675,4706,489.411254969543,7111.38271713257
4706,4709,544.264068711929,8840.94507217407
4706,4739,609.411254969543,10671.3457679749
4756,4772,1571.54328932551,65358.742893219
4764,4813,812.132034355964,17311.3832130432
4768,4908,2837.9393923934,215683.341953278
4779,4802,4384.99566724111,548876.125644684
4782,4833,823.675323681471,20208.6590042114
4782,4785,1094.55844122716,31073.6850013733
4803,4842,751.248916810279,16892.1502952576
4836,5025,2678.89393668845,209504.362644196
4871,5094,1777.64501987817,92395.5353126526
4891,5198,3499.70562748477,307740.290866852
4871,4908,1880.95454429505,96768.6023902893
4953,4998,963.380951166243,27671.7547874451
4813,4986,2900.43722601395,248335.307498932
4990,5269,2181.32034355964,140745.899452209
4998,5054,589.705627484771,9273.59349441528
5010,6163,5840.07142674936,873032.50687027
5025,5108,1117.27922061358,31817.5742530823
5094,5141,964.264068711929,25477.202091217
5105,5126,549.411254969543,8817.06966018677
5108,5181,534.852813742386,7437.04141616821
5116,5211,1079.11688245431,32155.2703590393
5116,5117,1515.80735803743,65949.0243263245
4842,5155,3728.52813742385,355787.524692535
5159,5254,912.426406871193,21116.9815635681
5165,6235,1866.39610306789,91757.5340919495
5183,5232,2606.98484809835,171770.072879791
5196,7890,6147.35064736294,968631.562046051
5198,5232,1576.69047558312,64936.9093666077
5215,5231,744.852813742386,14205.3341560364
5223,5234,1796.10173055266,87597.542514801
5231,5288,612.426406871193,9606.0267906189
5236,5285,544.264068711929,8840.94507217407
5126,5241,1033.67532368147,31340.5275306702
5247,5267,1158.82250993909,38204.7466773987
5267,5388,966.396103067893,27073.452091217
5269,5336,1328.52813742386,50698.1011390686
5287,5483,1133.08657865101,38211.1091880798
5293,5318,1246.69047558312,41535.4214515686
5298,5347,796.690475583121,18203.2115516663
5300,5434,1319.11688245431,46611.0931129456
5317,5389,1076.10173055266,33998.3845863342
5351,5465,921.837661840736,23118.3818092346
5285,5365,1210.66017177982,43466.3520698547
5288,5366,1170,34999.9090881348
5399,5495,2296.69047558312,134896.352176666
5407,5534,1829.48268171891,99107.9756507874
5423,5550,1010.95454429505,30372.4613380432
5155,5429,3738.82250993908,355284.021396637
5434,5490,694.264068711929,13948.6394233704
5436,5490,956.101730552664,27132.4560432434
5458,5465,907.279220613579,21124.4591407776
5471,5632,1361.54328932551,49888.0311012268
5483,5533,514.264068711929,7927.24116897583
5490,5532,539.116882454314,8747.98983383179
5366,5493,1351.24891681028,51119.5132789612
5508,5688,2267.05627484771,149650.988071442
5429,5531,4040.80302527854,482233.856327057
5533,5542,356.98484809835,3849.69835662842
5534,5622,919.705627484771,21833.324344635
5548,5684,1579.70562748477,63292.3138771057
5532,5575,593.9696961967,10799.365272522
5575,5585,1740.36579926459,87826.6297340393
